platform,label,kernel,scenario,median,mowcet,pw6,pw9,xi,lb,ks,gof,valid,pw6_over_med
P1,C++ serial,conv,intf,5169.619,12077.715,21529.17060526862,27933.329355873975,-0.04204503455951842,0.0,0.1725563396262406,0.026228468033522377,False,4.164556537970907
P1,C++ serial,conv,iso,5150.977,11358.502,12098.026294662857,12196.74880023656,-0.3568475943716644,0.0,5.4973425520038925e-09,0.004358631334313619,False,2.3486857531421435
P1,C++ serial,gemm,intf,2170.824,8357.603,10783458.853510188,11932176264.536938,1.0146827566017675,0.9999352033923516,3.2970936450072955e-12,0.9897815829062028,False,4967.449619826475
P1,C++ serial,gemm,iso,2182.472,3718.578,4510.494592733134,5295.087430212684,-0.05423111650760566,0.0,0.019894110072361745,0.7046500031620158,False,2.0666907033552473
P1,C++ serial,kalman,intf,433.287,1853.794,4658.415907283061,71321.51993549796,0.4077190514614508,1.4332179228526698e-05,0.058689209417416795,0.22695701923945752,False,10.751340121635454
P1,C++ serial,kalman,iso,448.355,2833.776,193354.74905367906,41888061.37070825,0.7791048997369091,0.0,6.129850706861684e-27,0.3134480804369276,False,431.25369194874384
P1,OpenCL Intel,conv,intf,3923.4175,10191.283,203185.24032707483,6769627.4465558985,0.5099969053589498,0.0,0.01637912818629415,0.037858834503863514,False,51.78782026819089
P1,OpenCL Intel,conv,iso,3939.361,7022.432,10566.628128604949,15913.104961457775,0.0419199816321639,0.0,0.0023738215453611602,0.22414783475340513,False,2.68232033789362
P1,OpenCL Intel,gemm,intf,1820.252,3073.207,3092.1931559535205,3093.2334648652572,-0.6083290761166735,0.0,6.125192815723937e-05,0.03185721318625547,False,1.6987720139593423
P1,OpenCL Intel,gemm,iso,1861.312,3850.838,4018.131844724202,4052.171963763024,-0.34359594327094944,0.0,0.0007045191903924169,3.6401777317102603e-07,False,2.158763197531742
P1,OpenCL Intel,kalman,intf,589.239,864.443,1107.8782421768512,1591.694751013031,0.05708419356142164,0.0,0.00010844915031869944,5.515050240460481e-07,False,1.8801848522871893
P1,OpenCL Intel,kalman,iso,596.9645,4971.707,286606.09135572053,30254774.48261099,0.6748214925994749,1.5300538613871595e-11,1.2586006692535668e-10,0.102622480400435,False,480.1057539530751
P1,OpenCL PoCL,conv,intf,7315.292,17979.84,34682571.3980737,22759891654.117184,0.9390487741127447,0.0,0.0011593081980021192,0.25807993630263004,False,4741.10553592033
P1,OpenCL PoCL,conv,iso,7343.1485,17704.915,1305840.1192763117,59392652.149692364,0.5532185649900002,0.0,0.02406614705241275,0.3707414627906937,False,177.83109238173677
P1,OpenCL PoCL,gemm,intf,24437.7595,57939.287,79428.91395259701,87077.80359857756,-0.14566971817132213,0.00013951728494665527,0.3699050405997647,0.016831057477019826,False,3.2502535247798394
P1,OpenCL PoCL,gemm,iso,24521.0925,54842.377,2884311.290248812,123909992.65604131,0.5453939414383336,0.00020142570222825285,0.01637912818629415,0.07245394258334857,False,117.6257252913512
P1,OpenCL PoCL,kalman,intf,986.2765,4322.52,925395.1092308492,299163379.57355905,0.8366816955191283,0.008191432825323086,0.0011593081980021192,0.8753332142633894,False,938.2714778572227
P1,OpenCL PoCL,kalman,iso,987.0195,2276.745,13224124.931169813,26126091524.99696,1.0985800647914838,0.0,0.058689209417416795,0.6308027352127643,False,13398.0381655781
P1,SYCL→OCL Intel buf,conv,intf,3915.9255,9960.72,18491.184326972776,32104.6732583177,0.055231643712145305,4.440892098500626e-16,0.41348608403425674,0.902890674698829,False,4.722047017230736
P1,SYCL→OCL Intel buf,conv,iso,3903.2515,7984.867,10496.874104660503,11963.732921245053,-0.09129504567880387,0.0,0.3699050405997647,0.9797159151716415,False,2.6892640929390543
P1,SYCL→OCL Intel buf,gemm,intf,1871.8485,5925.351,9633.776738143732,14970.375666343676,0.020378910979606667,0.0,0.010968966298223139,0.10702188525908701,False,5.146664774496297
P1,SYCL→OCL Intel buf,gemm,iso,1880.9405,3109.645,59022.59148099167,1615189.8651518836,0.48338768947606126,6.956846962391516e-06,0.004686682589297701,0.9138953538662571,False,31.379297474317596
P1,SYCL→OCL Intel buf,kalman,intf,441.023,2160.649,4263.8555291451175,20569.742408479422,0.23522036317458145,0.0,1.0697285962248264e-09,0.0212043450820891,False,9.668102409953942
P1,SYCL→OCL Intel buf,kalman,iso,434.0705,642.739,858.8765375464526,1380.7369286630303,0.09316075250562385,0.0,0.00042124348957333854,0.8465190706656998,False,1.9786567793629206
P1,SYCL→OCL Intel USM,conv,intf,3942.7235,10294.923,13895.806112672286,17207.57340790765,-0.049521961568576356,0.0,5.293265246027034e-06,0.4974249882178998,False,3.524418111661212
P1,SYCL→OCL Intel USM,conv,iso,3887.974,13798.982,57504.41050527259,411553.92178649316,0.2901759370303843,0.002319336371702563,0.09546453231155308,0.6801814392126375,False,14.790327945936005
P1,SYCL→OCL Intel USM,gemm,intf,1868.924,6988.156,140549.48765432875,3745663.261046804,0.4767441904007653,0.0,0.41348608403425674,0.8788278124046892,False,75.20342595757171
P1,SYCL→OCL Intel USM,gemm,iso,1873.533,4235.065,6561.038625115405,8971.441683353853,-0.008774587900027424,0.0,1.9464738383648577e-16,0.9468676855840144,False,3.501960533983338
P1,SYCL→OCL Intel USM,kalman,intf,431.1115,788.15,897.0899425989734,936.218897751415,-0.18715247699055673,0.0,0.058689209417416795,0.06136149642530999,False,2.0808768557530324
P1,SYCL→OCL Intel USM,kalman,iso,435.5155,852.676,2312.113097885007,7226.344844372204,0.17425292862677783,0.0,3.826456804356892e-06,0.1253341108463194,False,5.30891115904028
P1,SYCL OMP AOT USM,conv,intf,5161.672,11128.098,2486137.418810358,366469152.9556836,0.7231167997953987,0.0,0.04950261174890187,0.4245306317092381,False,481.65350661769247
P1,SYCL OMP AOT USM,conv,iso,5173.5515,12288.888,61978.47800395872,338661.42372684897,0.25033748421647184,0.0,2.445296021468176e-09,0.6902037177798621,False,11.979870695006849
P1,SYCL OMP AOT USM,gemm,intf,4211.9315,8819.428,8876.577151956808,8878.535100002398,-0.6602654177962685,0.0,7.2923844244552955e-06,0.18411134387626377,False,2.1074837404067015
